Código;Alimento;Agua (g);Energía (kcal);Proteínas (g);Lípidos (g);Ácidos Grasos Saturados (g);Ácidos Grasos Monoinsaturados (g);Ácidos Grasos Poliinsaturados (g);Colesterol (mg);Hidratos de Carbono (g);Fibra (g);Cenizas (g);Sodio (mg);Potasio (mg);Calcio (mg);Fósforo (mg);Hierro (mg);Zinc (mg);Niacina (mg);Folatos (µg);Vitamina A (µg RAE);Tiamina (B1) (mg);Riboflavina (B2) (mg);Vitamina B12 (µg);Vitamina C (mg);Vitamina D (UI)
9;Achicoria;94.2;15.5;1.6;0.3;0.071;0.006;0.127;0;1.6;1.3;1;7;182;18;21;0.69;0.4;0.48;107.36;279.13;0.058;0.097;0;49.3;0
9;Morrón rojo;92.21;22.78;0.99;0.3;0.059;0.007;0.156;0;4.03;2;0.47;2;211;7;26;0.43;0.25;0.97;18;157;0.054;0.085;0;170.3;0
9;Morrón verde ó amarillo;93.09;16.73;0.86;0.17;0.035;0.005;0.062;0;2.94;1.7;0.43;3;175;10;20;0.34;0.13;0.48;11;18;0.057;0.028;0;73.46;0
9;Alcaucil;83.7;41;2.9;0.4;0.035;0.005;0.063;0;6.45;5.45;1.1;94.94;377;40;94;1.89;0.49;0.8;68.68;0;0.05;0.067;0;10;0
9;Apio;95.43;9.77;0.69;0.17;0.043;0.032;0.081;0;1.37;1.6;0.75;80;260;40;24;0.2;0.13;0.32;36;22;0.021;0.057;0;6.01;0
9;Arveja fresca;71.2;83.36;8.9;0.44;0.071;0.035;0.189;0;10.95;5.65;3.3;38;395;21;129;1.63;1.37;1.2;71.95;42;0.21;0.158;0;15.47;0
9;Arveja fresca enlatada;70.4;104.4;6;0.8;0.018;0.01;0.01;0;18.3;3.4;1.1;87.8;155;54.1;67;1.5;1.5;2.9;51;31.32;0.086;0.087;0.14;11.14;0
9;Batata;78;71.81;1.1;0.05;0.018;0.001;0.014;0;16.74;3.06;1.1;6;417;34;64;0.25;0.3;1.1;14.28;74.54;0.103;0.14;0;13.14;0
9;Berenjena;92.7;14.76;1.1;0.2;0.034;0.016;0.076;0;2.14;3.36;0.5;3;238;10;12;0.39;0.16;1.8;22;1;0.118;0.479;0;1.25;0
9;Berro;93.6;20.7;1.7;0.3;0.027;0.008;0.035;0;2.8;0.5;1.1;60;314;222;52;1.62;0.11;0.6;9.09;237.35;0.118;0.207;0;111.3;0
9;Brócoli;89.9;26.6;3.3;0.2;0.039;0.01;0.038;0;2.9;2.6;1.1;32.7;313.9;46.68;65.5;0.73;0.4;0.7;62.36;32.67;0.076;0.165;0;42;0
9;Brotes de soja;69.05;146.54;13.09;6.7;0.929;1.518;3.783;0;8.47;1.1;1.59;14;484;67;164;2.1;1.17;1.15;172;1;0.34;0.118;0;15.3;0
9;Cebolla;94.7;12.63;0.8;0.07;0.024;0.021;0.055;0;2.2;1.3;1;26;100;26;20;0.58;0.14;0.3;17.67;0;0.06;0.07;0;4.82;0
9;Coliflor;91.7;21;2.4;0.2;0.032;0.014;0.099;0;2.4;2.5;0.8;41;313;25;65;0.9;0.28;0.5;57;1;0.137;0.08;0;44.92;0
9;Chaucha;91.6;15.88;2.4;0.12;0.025;0.04;0.05;0;1.3;1.9;2.8;23;247;60;100;2.8;0.23;0.7;36.26;34.3;0.048;0.28;0;9.7;0
9;Choclo fresco;73.9;96.6;3.7;1.2;0.019;0.353;0.57;0;17.75;2.75;0.7;40;113;6;103;0.47;0.46;2;47;10.27;0.134;0.081;0;5.83;0
9;Choclo enlatado en grano;76.58;83.9;2.41;0.5;0.077;0.147;0.237;0;17.44;2;1.07;2.72;186;5;64;0.42;0.46;1.17;49;0;0.041;0.073;0;8.5;0
9;Choco enlatado cremoso;78.73;78.46;1.74;0.42;0.065;0.123;0.198;0;16.93;1.2;0.98;285;134;3;51;0.38;0.53;0.96;45;0;0.025;0.053;0;4.6;0
9;Escarola;93.3;11.8;1.6;0.2;0.048;0.004;0.087;0;0.9;3.1;0.9;10;381;44;67;2.77;0.79;0.4;142.56;108;0.026;0.035;0;11.1;0
9;Espárrago;93;17.8;2.2;0.2;0.046;0.006;0.088;0;1.8;2.1;0.7;7;196;25;39;1;0.54;0.4;52.1;38;0.186;0.162;0;7.7;0
9;Espinaca;92.3;24.83;3.9;0.39;0.062;0.01;0.163;0;1.43;1.21;1.4;36;918;95;92;3.08;0.53;0.72;192;464.31;0.098;0.21;0;9.68;0
9;Habas fresca;73.4;80.72;6.7;0.8;0.152;0.017;0.341;0;11.68;4.62;2.8;12;502;36;157;1.39;0.64;0.8;105.6;19.8;0.2;0.152;0;22.57;0
9;Hinojo;92.8;11.8;1.9;0.2;0.046;0.006;0.088;0;0.6;3;1.5;50;402;48;49;0.7;0.19;0.3;26.19;7;0.036;0.036;0;15.9;0
9;Hongos frescos;92.46;23.66;3.11;0.34;0.046;0.006;0.139;0;2.04;1.2;0.85;4;314;3;85;0.52;0.52;3.85;16;0;0.091;0.416;0.04;2.4;0
